Precision 0.94, Recall 0.84, F1 0.89
Precision 0.91, Recall 0.82, F1 0.86
Precision 0.86, Recall 0.80, F1 0.83
Precision 0.93, Recall 0.86, F1 0.90
Precision 0.93, Recall 0.85, F1 0.89
Precision 0.92, Recall 0.92, F1 0.92
Precision 1.00, Recall 1.00, F1 1.00
Precision 0.89, Recall 0.89, F1 0.89
Precision 0.82, Recall 0.67, F1 0.73
Precision 0.89, Recall 0.68, F1 0.77
Precision 0.94, Recall 0.95, F1 0.94
Precision 0.90, Recall 0.72, F1 0.80
Precision 0.86, Recall 0.77, F1 0.81
Precision 0.91, Recall 0.80, F1 0.85
Precision 0.92, Recall 0.66, F1 0.77
Precision 0.96, Recall 0.93, F1 0.94
Precision 0.86, Recall 0.78, F1 0.82
Precision 0.95, Recall 0.97, F1 0.96
Precision 0.91, Recall 0.83, F1 0.87
Precision 0.85, Recall 0.66, F1 0.74
Precision 1.00, Recall 1.00, F1 1.00
Precision 0.92, Recall 0.79, F1 0.85
Precision 0.80, Recall 0.67, F1 0.73
Precision 0.89, Recall 0.70, F1 0.79
Precision 0.88, Recall 0.83, F1 0.86
Precision 0.92, Recall 0.73, F1 0.82
Precision 1.00, Recall 0.71, F1 0.83
Precision 1.00, Recall 0.79, F1 0.88
Precision 0.88, Recall 0.70, F1 0.78
Precision 1.00, Recall 0.71, F1 0.83
Precision 0.86, Recall 0.77, F1 0.81
Precision 0.92, Recall 0.90, F1 0.91
Precision 0.84, Recall 0.67, F1 0.75
Precision 0.91, Recall 0.90, F1 0.90
Precision 0.92, Recall 0.62, F1 0.74
Precision 0.85, Recall 0.84, F1 0.84
Precision 0.87, Recall 0.69, F1 0.77
Precision 0.88, Recall 0.73, F1 0.80
Precision 0.80, Recall 0.56, F1 0.66
Precision 0.92, Recall 0.82, F1 0.86
Precision 0.79, Recall 0.64, F1 0.71
Precision 0.91, Recall 0.83, F1 0.87
Precision 1.00, Recall 1.00, F1 1.00
Precision 1.00, Recall 0.00, F1 0.00
Precision 0.92, Recall 0.74, F1 0.82
Precision 0.87, Recall 0.83, F1 0.85
Precision 0.91, Recall 0.86, F1 0.88
Precision 0.93, Recall 0.61, F1 0.74
Precision 0.94, Recall 0.73, F1 0.82
Precision 1.00, Recall 0.69, F1 0.81
Precision 0.88, Recall 0.82, F1 0.85
Precision 0.92, Recall 0.83, F1 0.87
Precision 0.92, Recall 0.88, F1 0.90
Precision 0.90, Recall 0.79, F1 0.84
Precision 0.89, Recall 0.81, F1 0.85
Precision 0.88, Recall 0.82, F1 0.85
Precision 0.91, Recall 0.79, F1 0.85
Precision 0.88, Recall 0.82, F1 0.85
Precision 0.92, Recall 0.96, F1 0.94
Precision 0.80, Recall 0.80, F1 0.80
Precision 0.92, Recall 0.85, F1 0.88
Precision 0.91, Recall 0.64, F1 0.75
Precision 1.00, Recall 0.75, F1 0.86
Precision 1.00, Recall 1.00, F1 1.00
Precision 0.96, Recall 0.77, F1 0.85
Precision 0.97, Recall 0.86, F1 0.91
Precision 0.95, Recall 0.86, F1 0.90
Precision 0.84, Recall 0.89, F1 0.86
Precision 0.93, Recall 0.88, F1 0.91
Precision 1.00, Recall 0.64, F1 0.78
Precision 1.00, Recall 0.50, F1 0.67
Precision 0.83, Recall 0.71, F1 0.77
Precision 1.00, Recall 1.00, F1 1.00
Precision 0.67, Recall 1.00, F1 0.80
Precision 1.00, Recall 1.00, F1 1.00
Precision 0.94, Recall 0.84, F1 0.89
Precision 0.75, Recall 0.75, F1 0.75
Precision 1.00, Recall 1.00, F1 1.00
Precision 1.00, Recall 1.00, F1 1.00
Precision 1.00, Recall 0.89, F1 0.94
Precision 1.00, Recall 1.00, F1 1.00
Precision 1.00, Recall 0.67, F1 0.80
Precision 0.95, Recall 0.88, F1 0.91
Precision 0.85, Recall 0.85, F1 0.85
Precision 0.73, Recall 0.79, F1 0.76
Precision 0.87, Recall 0.87, F1 0.87
Precision 1.00, Recall 0.83, F1 0.91
Precision 1.00, Recall 1.00, F1 1.00
Precision 1.00, Recall 1.00, F1 1.00
Precision 1.00, Recall 1.00, F1 1.00
Precision 1.00, Recall 0.50, F1 0.67
Precision 0.89, Recall 1.00, F1 0.94
Precision 1.00, Recall 1.00, F1 1.00
Precision 0.60, Recall 0.60, F1 0.60
Precision 1.00, Recall 1.00, F1 1.00
Precision 1.00, Recall 0.60, F1 0.75
Precision 1.00, Recall 1.00, F1 1.00
Precision 1.00, Recall 1.00, F1 1.00
